Gender,Age,Сredit_sum,Currency,Term_of_crediting_in day,Interest rate_%,Duration_of_stay_in_a_sity ,Maritial_status,Children,Job_position,Tenure_with_current_employer,Term_of_existence_of_enterprise,Company_type,Number_of_employees_in_kompany ,Income_customer,Costs_customer,goal_credit,Result
Female,45,3000,USD,1080,17,120_9999,MARRIED,c0,MM,24_60,24_60,WB,0_5,1247,382,consumer_credit,good
Male,53,22000,USD,1800,15,120_9999,MARRIED,c0,TM,24_60,24_60,ASTL,6_15,6600,850,overhaul,good
Female,51,5000,USD,2520,15,60_120,DIVORCED,c0,TM,12_18,12_24,AP,6_15,1236,382,flat,good
Male,46,15000,USD,2520,15,120_9999,MARRIED,c1,AS,60_120,120_9999,EC,100_9999,3442,765,flat,bad
Male,46,20000,USD,1825,15,12_24,MARRIED,c0,MM,24_60,24_60,RE,31_50,4602,382,overhaul,good
Female,58,5500,USD,1095,17,120_9999,DIVORCED,c0,AS,120_9999,120_9999,OT,31_50,1860,382,consumer_credit,good
Male,65,37500,UAH,180,16,120_9999,MARRIED,c1,TM,24_60,24_60,HI,6_15,9150,800,consumer_credit,good
Male,44,6000,USD,1800,16,120_9999,MARRIED,c1,MM,24_60,120_9999,ASTL,51_100,15917,1520,overhaul,good
Male,42,7000,USD,1800,15,120_9999,MARRIED,c2,TM,60_120,60_120,WB,6_15,2490,800,consumer_credit,bad
Male,46,35000,UAH,1080,23,120_9999,MARRIED,c1,TM,120_9999,120_9999,WB,0_5,3643,1150,consumer_credit,bad
Male,37,219800,UAH,60,11,120_9999,MARRIED,c0,SP,0_3,0_12,WB,6_15,221898,53445,consumer_credit,bad
Male,35,19400,USD,2520,15,120_9999,MARRIED,c1,AS,24_60,120_9999,MFC,51_100,9761,1200,flat,good
Male,32,18000,USD,1800,17,120_9999,MARRIED,c0,AS,24_60,120_9999,ASTL,31_50,18508,450,consumer_credit,good
Male,49,18800,USD,90,11,120_9999,MARRIED,c0,TM,60_120,60_120,WB,6_15,37383,500,consumer_credit,good
Female,51,25000,USD,1800,15,120_9999,MARRIED,c0,AS,120_9999,120_9999,MFC,51_100,9063,1350,consumer_credit,good
Male,41,7500,USD,1080,17,24_60,MARRIED,c1,AS,24_60,24_60,WB,0_5,3500,950,consumer_credit,good
Female,29,930,USD,360,12,120_9999,SINGLE,c0,AS,24_60,24_60,FS,100_9999,1694,550,consumer_credit,good
Female,31,930,USD,360,12,120_9999,MARRIED,c0,AS,24_60,24_60,FS,100_9999,3510,1400,consumer_credit,good
Female,49,28000,USD,1800,17,120_9999,DIVORCED,c0,TM,60_120,60_120,WB,0_5,6100,700,consumer_credit,good
Female,33,32000,UAH,2520,19,120_9999,SINGLE,c0,AS,60_120,60_120,FMG,51_100,2065,410,flat,good
Female,31,3000,UAH,180,12,120_9999,MARRIED,c0,AS,24_60,60_120,FS,100_9999,1476,382,consumer_credit,good
Male,42,6000,USD,2520,15,120_9999,DIVORCED,c1,AS,0_3,0_12,RE,31_50,1915,365,flat,good
Male,57,2450,USD,2490,15,120_9999,MARRIED,c0,AS,60_120,60_120,EOG,51_100,1249,724,flat,good
Male,33,9000,USD,2520,15,120_9999,MARRIED,c2,TM,24_60,24_60,ASTL,0_5,2815,1448,flat,good
Male,38,32000,UAH,2520,22,120_9999,MARRIED,c2,MM,24_60,120_9999,EC,100_9999,2209,948,flat,good
Male,35,2800,USD,2520,15,120_9999,MARRIED,c1,AS,24_60,120_9999,MFC,6_15,1163,513,flat,good
Female,36,6500,USD,2520,15,120_9999,MARRIED,c2,TM,60_120,60_120,WB,0_5,3105,1448,flat,good
Male,39,2000,UAH,1080,20,24_60,MARRIED,c0,AS,12_18,12_24,FS,51_100,850,534,consumer_credit,good
Female,50,30000,UAH,1800,20,120_9999,MARRIED,c0,TM,24_60,24_60,WB,6_15,4153,801,flat,good
Male,38,58000,UAH,2520,22,120_9999,MARRIED,c1,TM,24_60,24_60,WB,0_5,6248,1298,flat,good
Male,34,30000,UAH,2520,20,120_9999,SINGLE,c0,AS,24_60,60_120,MFC,51_100,1200,237,flat,good
Female,39,14500,UAH,1080,20,120_9999,MARRIED,c1,PE,120_9999,120_9999,FS,100_9999,2435,1189,consumer_credit,bad
Female,42,21300,UAH,2520,22,120_9999,MARRIED,c2,AS,12_18,12_24,FMG,100_9999,1316,513,flat,good
Female,56,1090,UAH,720,20,120_9999,DIVORCED,c0,AS,0_3,0_12,FS,100_9999,377,275,consumer_credit,bad
Male,34,21500,UAH,1800,20,24_60,MARRIED,c1,TM,12_18,12_24,WB,0_5,2808,850,flat,good
Female,56,5000,UAH,360,22,120_9999,MARRIED,c0,MM,60_120,120_9999,EC,51_100,1228,305,consumer_credit,bad
Male,60,5000,UAH,360,22,120_9999,MARRIED,c1,TM,120_9999,120_9999,EC,51_100,1416,305,consumer_credit,bad
Female,41,4000,UAH,360,23,120_9999,MARRIED,c0,AS,24_60,24_60,EOG,100_9999,976,267,overhaul,good
Female,60,3500,USD,1080,17,120_9999,MARRIED,c0,SP,24_60,24_60,FS,31_50,3140,474,consumer_credit,good
Male,49,54300,UAH,1080,19,120_9999,MARRIED,c1,TM,24_60,24_60,WB,0_5,4500,1279,flat,good
Male,44,15000,UAH,1080,18,120_9999,MARRIED,c1,MM,0_3,60_120,FS,100_9999,2195,507,consumer_credit,good
Female,38,6000,UAH,720,20,120_9999,SINGLE,c0,PE,120_9999,120_9999,FS,100_9999,1205,450,consumer_credit,good
Male,62,16000,UAH,1020,23,120_9999,MARRIED,c0,MM,24_60,24_60,ALC,31_50,1943,560,consumer_credit,good
Female,57,700,UAH,360,20,120_9999,MARRIED,c1,PE,60_120,120_9999,FS,31_50,423,240,overhaul,bad
Female,38,2000,UAH,1080,20,60_120,MARRIED,c1,PE,60_120,120_9999,FS,31_50,470,250,overhaul,bad
Male,55,5000,USD,2520,15,120_9999,MARRIED,c0,TM,60_120,60_120,OT,31_50,1825,820,flat,good
Male,42,11000,USD,1800,15,120_9999,MARRIED,c0,AS,60_120,60_120,ASTL,51_100,6160,685,flat,good
Male,50,5500,USD,1800,15,120_9999,MARRIED,c0,MM,12_18,120_9999,PSL,100_9999,2758,474,overhaul,good
Male,31,13000,UAH,2520,20,120_9999,MARRIED,c0,AS,0_3,0_12,WB,51_100,1065,474,flat,good
Male,36,37000,USD,2520,15,120_9999,MARRIED,c2,TM,60_120,60_120,WB,0_5,50545,40976,auto,good
Female,45,6000,UAH,1080,18,120_9999,MARRIED,c1,PE,120_9999,120_9999,FS,100_9999,1495,550,consumer_credit,good
Male,30,2000,UAH,720,18,12_24,MARRIED,c0,AS,12_18,12_24,FS,51_100,1607,674,consumer_credit,good
Male,54,3000,UAH,1080,18,120_9999,MARRIED,c0,AS,60_120,120_9999,FS,51_100,1351,827,consumer_credit,good
Female,37,1100,USD,360,17,60_120,MARRIED,c1,TM,24_60,24_60,MFC,0_5,2765,910,overhaul,good
Female,56,2000,USD,360,17,60_120,MARRIED,c0,AS,60_120,60_120,OT,100_9999,1945,864,consumer_credit,good
Male,33,700,UAH,360,18,120_9999,MARRIED,c1,PE,0_3,0_12,FS,51_100,508,290,overhaul,good
Female,28,1000,UAH,360,18,60_120,SINGLE,c0,AS,60_120,60_120,OT,100_9999,660,382,consumer_credit,good
Female,45,1250,USD,1080,12,120_9999,MARRIED,c0,PE,24_60,24_60,OT,0_5,1047,480,consumer_credit,good
Female,50,18000,UAH,1440,20,120_9999,DIVORCED,c0,MM,24_60,120_9999,FMCG,100_9999,1928,770,consumer_credit,bad
Female,51,45000,UAH,1800,20,24_60,MARRIED,c0,SP,60_120,60_120,ALC,6_15,6500,3100,consumer_credit,good
Male,31,13000,UAH,1800,20,120_9999,DIVORCED,c0,MM,0_3,60_120,FMCG,31_50,1281,370,overhaul,good
Female,58,15170,USD,1800,15,120_9999,MARRIED,c0,AS,24_60,24_60,WB,0_5,4516,764,flat,good
Female,30,7000,USD,1800,15,120_9999,MARRIED,c1,MM,12_18,24_60,MPP,51_100,3091,1146,overhaul,good
Female,33,5870,USD,1800,15,12_24,DIVORCED,c1,AS,12_18,12_24,FS,6_15,2225,764,flat,good
Male,50,13000,USD,2520,15,120_9999,MARRIED,c1,AS,120_9999,120_9999,FMCG,100_9999,3177,900,flat,good
Male,51,6000,USD,1800,15,120_9999,MARRIED,c0,MM,12_18,120_9999,EC,100_9999,2021,750,overhaul,good
Female,53,4900,USD,1800,15,120_9999,MARRIED,c0,AS,120_9999,120_9999,ITT,100_9999,1991,600,flat,good
Female,45,16000,USD,5400,15,120_9999,MARRIED,c0,TM,24_60,24_60,WB,0_5,3642,380,flat,good
Female,37,37500,USD,1080,14,120_9999,MARRIED,c1,SP,24_60,24_60,ALC,0_5,33000,900,overhaul,good
Male,39,24500,USD,2520,14,120_9999,MARRIED,c0,TM,24_60,24_60,WB,31_50,4761,1034,flat,good
Male,34,10290,USD,2520,15,120_9999,SINGLE,c0,MM,0_3,0_12,WB,6_15,1956,400,flat,good
Male,33,14700,USD,2520,15,60_120,SINGLE,c0,AS,12_18,12_24,AP,31_50,3020,382,flat,good
Male,40,12000,USD,1800,14,120_9999,DIVORCED,c0,TM,12_18,12_24,WB,0_5,3150,382,flat,good
Female,33,11900,UAH,5475,20,24_60,MARRIED,c1,TM,24_60,24_60,WB,51_100,1700,724,house,good
Male,38,15000,USD,2520,15,120_9999,MARRIED,c1,TM,60_120,60_120,CA,6_15,3526,724,house,good
Male,55,80000,UAH,1080,23,120_9999,MARRIED,c2,TM,60_120,60_120,WB,51_100,5399,670,consumer_credit,good
Female,39,5000,UAH,1080,18,120_9999,SINGLE,c2,MM,24_60,24_60,FS,51_100,1244,670,consumer_credit,good
Female,48,1000,UAH,1080,18,120_9999,MARRIED,c1,PE,12_18,12_24,FS,51_100,1224,1184,consumer_credit,bad
Female,44,10000,UAH,1080,18,120_9999,MARRIED,c1,PE,0_3,0_12,FS,51_100,1181,480,consumer_credit,good
Male,29,10500,USD,5475,15,120_9999,SINGLE,c0,AS,12_18,12_24,FMG,31_50,1592,530,flat,good
Female,58,3000,UAH,360,18,120_9999,MARRIED,c0,MM,24_60,60_120,FS,51_100,2110,1205,consumer_credit,good
Male,39,45000,UAH,1800,20,120_9999,MARRIED,c2,TM,60_120,60_120,WB,0_5,2297,730,overhaul,good
Female,45,66000,UAH,5475,21,120_9999,MARRIED,c1,SP,12_18,12_24,WB,31_50,2247,730,flat,good
Female,53,4757,USD,720,15,120_9999,SINGLE,c0,AS,24_60,24_60,OT,51_100,2645,365,overhaul,good
Female,36,18000,UAH,1800,22,24_60,MARRIED,c2,SP,24_60,24_60,OT,6_15,1889,720,overhaul,good
Male,55,110000,UAH,1080,18,120_9999,MARRIED,c0,TM,60_120,60_120,LI,100_9999,7594,805,overhaul,good
Female,45,1832,UAH,360,26,120_9999,MARRIED,c1,AS,120_9999,60_120,EC,51_100,578,130,consumer_credit,good
Female,39,1647,UAH,360,26,120_9999,MARRIED,c1,AS,120_9999,120_9999,EC,51_100,563,130,consumer_credit,bad
Female,51,689,UAH,360,26,120_9999,MARRIED,c0,AS,120_9999,120_9999,OT,31_50,572,130,consumer_credit,bad
Male,25,10000,UAH,1080,18,120_9999,SINGLE,c0,PE,12_18,12_24,FS,51_100,1273,499,consumer_credit,good
Male,50,70000,UAH,1800,19,120_9999,MARRIED,c0,TM,24_60,24_60,AG,6_15,5079,1200,consumer_credit,good
Female,44,1500,UAH,720,18,120_9999,MARRIED,c0,PE,24_60,120_9999,FS,100_9999,1484,594,consumer_credit,good
Male,29,10990,USD,1800,15,120_9999,MARRIED,c0,AS,24_60,24_60,FMG,51_100,2083,390,flat,good
Male,26,2000,USD,1770,15,120_9999,SINGLE,c0,AS,24_60,24_60,EOG,100_9999,1207,550,flat,good
Male,36,8000,USD,1800,15,120_9999,MARRIED,c0,TM,24_60,24_60,WB,0_5,2694,846,flat,good
Male,56,4000,UAH,360,26,24_60,MARRIED,c0,AS,12_18,12_24,OT,6_15,851,160,overhaul,good
Male,59,4000,UAH,360,26,120_9999,MARRIED,c0,AS,120_9999,120_9999,CA,6_15,1477,150,overhaul,good
Female,31,2000,UAH,360,26,120_9999,SINGLE,c0,AS,24_60,24_60,MFC,6_15,351,100,overhaul,bad
Male,54,1000,UAH,360,26,120_9999,SINGLE,c0,AS,24_60,24_60,OT,6_15,725,150,overhaul,good
Male,51,5000,UAH,540,26,120_9999,MARRIED,c0,AS,24_60,24_60,OT,6_15,2319,160,overhaul,good
Male,35,2500,UAH,360,26,120_9999,MARRIED,c0,AS,24_60,24_60,OT,0_5,509,120,overhaul,good
Female,60,6000,UAH,360,26,120_9999,DIVORCED,c0,AS,24_60,24_60,OT,0_5,973,100,overhaul,good
Female,32,4500,USD,1800,15,24_60,MARRIED,c0,AS,24_60,24_60,OT,51_100,1739,645,overhaul,good
Male,33,16000,USD,1095,14,120_9999,MARRIED,c0,TM,24_60,24_60,OT,6_15,7736,2482,consumer_credit,good
Female,41,5000,UAH,365,18,120_9999,SINGLE,c0,AS,24_60,120_9999,FS,100_9999,1855,800,consumer_credit,good
Female,39,175000,UAH,5475,21,120_9999,MARRIED,c2,AS,24_60,60_120,MFC,100_9999,8821,2110,flat,good
Female,36,75000,UAH,1825,14,120_9999,MARRIED,c1,MM,0_3,24_60,FS,100_9999,6629,1936,flat,bad
Female,36,32993,USD,5475,15,12_24,MARRIED,c0,MM,60_120,60_120,ITT,100_9999,8525,1688,flat,good
Male,53,40000,UAH,1095,19,60_120,MARRIED,c1,TM,120_9999,120_9999,WB,0_5,4385,1100,flat,good
Male,55,34083,USD,2555,15,120_9999,MARRIED,c0,AS,24_60,120_9999,FMCG,100_9999,6658,1080,flat,good
Male,42,20000,USD,1825,15,60_120,MARRIED,c0,TM,12_18,12_24,RE,0_5,28405,4087,consumer_credit,good
Female,37,20049,USD,5475,15,6_12,MARRIED,c1,MM,0_3,0_12,FS,51_100,6774,1853,flat,good
Female,47,40000,USD,3650,15,120_9999,DIVORCED,c1,TM,24_60,24_60,TSPW,6_15,7839,1250,flat,good
Male,38,35000,USD,1825,15,12_24,MARRIED,c1,MM,60_120,60_120,FMG,100_9999,8311,1150,consumer_credit,good
Female,30,9000,USD,2555,14,120_9999,MARRIED,c0,AS,24_60,24_60,FMG,100_9999,6107,1565,flat,good
Male,40,7000,USD,1800,15,3_6,MARRIED,c2,TM,0_3,0_12,WB,0_5,4000,1830,consumer_credit,good
Female,54,5000,UAH,720,18,120_9999,MARRIED,c1,PE,120_9999,120_9999,FS,31_50,1784,620,consumer_credit,bad
Female,36,15000,USD,1800,15,12_24,MARRIED,c1,SP,12_18,24_60,FS,100_9999,3768,600,consumer_credit,good
Female,35,8500,USD,1080,14,12_24,MARRIED,c0,AS,12_18,12_24,WB,51_100,3462,700,consumer_credit,good
Male,30,24500,USD,2520,15,12_24,MARRIED,c1,TM,24_60,24_60,ITT,0_5,5686,850,flat,good
Female,39,19500,USD,3600,15,120_9999,SINGLE,c0,MM,12_18,120_9999,AP,100_9999,3800,500,flat,good
Female,40,10000,USD,3600,15,120_9999,MARRIED,c2,AS,24_60,24_60,PSL,100_9999,3564,1455,flat,good
Male,34,17600,USD,5400,14,24_60,MARRIED,c1,MM,24_60,24_60,WB,31_50,7050,720,flat,good
Male,38,10000,USD,5400,14,60_120,MARRIED,c1,AS,12_18,12_24,CA,6_15,2062,720,flat,good
Male,54,21775,USD,3600,15,120_9999,MARRIED,c1,MM,0_3,0_12,FMCG,100_9999,5153,1305,flat,good
Male,29,37100,USD,2520,14,120_9999,MARRIED,c0,AS,24_60,24_60,AG,6_15,7151,724,flat,good
Male,46,250000,UAH,1080,18,120_9999,MARRIED,c2,TM,24_60,24_60,WB,0_5,38000,2521,consumer_credit,bad
Female,54,13000,USD,1080,14,120_9999,MARRIED,c0,TM,24_60,24_60,MFC,0_5,6300,730,flat,good
Male,39,94000,USD,1800,15,120_9999,SINGLE,c0,TM,24_60,24_60,RE,0_5,31926,1400,flat,good
Female,27,800,USD,360,12,120_9999,SINGLE,c0,PE,0_3,0_12,FS,100_9999,1554,375,consumer_credit,bad
Male,27,300,USD,360,12,24_60,SINGLE,c0,PE,0_3,0_12,ASTL,100_9999,1095,602,consumer_credit,bad
Male,36,24600,USD,3600,15,60_120,DIVORCED,c1,AS,0_3,0_12,AP,100_9999,3924,850,flat,good
Female,47,28000,USD,2520,15,120_9999,MARRIED,c1,TM,24_60,24_60,WB,0_5,8100,1233,flat,good
Male,45,66500,USD,2520,15,24_60,MARRIED,c2,TM,24_60,120_9999,WB,6_15,11424,2340,flat,good
Male,33,35000,USD,1800,15,120_9999,SINGLE,c0,AS,12_18,60_120,WB,6_15,8670,700,consumer_credit,good
Male,37,25000,USD,720,17,120_9999,DIVORCED,c0,AS,12_18,60_120,CA,31_50,12429,1500,consumer_credit,bad
Female,32,45000,USD,1800,14,24_60,SINGLE,c0,AS,0_3,60_120,AP,100_9999,12582,1100,flat,good
Male,41,92000,USD,360,14,120_9999,MARRIED,c2,TM,120_9999,120_9999,WB,0_5,63674,1500,consumer_credit,good
Female,32,9000,USD,1080,14,120_9999,MARRIED,c2,TM,60_120,60_120,WB,0_5,2967,1186,overhaul,good
Male,29,15000,USD,3600,15,120_9999,MARRIED,c0,AS,0_3,0_12,WB,100_9999,4296,805,flat,bad
Female,27,12000,USD,2520,15,60_120,SINGLE,c0,AS,0_3,0_12,ESB,51_100,4326,770,flat,good
Male,38,45000,USD,2520,15,120_9999,MARRIED,c1,TM,24_60,24_60,WB,6_15,9641,1250,flat,good
Male,33,40000,USD,1800,15,60_120,MARRIED,c1,SP,12_18,12_24,WB,31_50,13599,2650,overhaul,good
Male,59,40000,USD,1620,15,120_9999,MARRIED,c1,TM,60_120,60_120,OT,31_50,11100,1000,flat,good
Female,32,15925,USD,3600,15,12_24,MARRIED,c1,SP,0_3,0_12,PSL,31_50,4956,1400,flat,good
Male,57,40000,USD,2520,15,120_9999,MARRIED,c0,MM,24_60,24_60,FS,100_9999,10214,1600,flat,good
Female,40,3000,USD,1080,12,120_9999,DIVORCED,c1,AS,24_60,120_9999,FS,100_9999,6047,1000,consumer_credit,good
Female,31,28000,USD,3600,15,12_24,SINGLE,c0,SP,0_3,0_12,ASTL,31_50,6011,1140,flat,good
Female,57,88800,UAH,2700,19,120_9999,SINGLE,c1,MM,120_9999,24_60,CI,100_9999,4488,800,flat,good
Female,56,31000,USD,1800,15,120_9999,SINGLE,c1,AS,120_9999,24_60,CA,100_9999,7676,750,flat,bad
Male,35,18540,USD,2520,15,120_9999,MARRIED,c1,MM,12_18,60_120,ALC,51_100,5264,2372,flat,good
Male,33,16000,USD,1800,14,120_9999,SINGLE,c0,TM,24_60,24_60,MPP,0_5,5239,800,flat,good
Male,30,350000,USD,1080,14,120_9999,SINGLE,c0,AS,0_3,0_12,ALC,6_15,106021,2800,flat,good
Female,26,60000,USD,1800,15,12_24,SINGLE,c1,AS,0_3,0_12,RE,0_5,16068,1150,consumer_credit,good
Female,42,30000,UAH,1800,19,60_120,SINGLE,c0,AS,0_3,0_12,MFC,100_9999,2392,700,overhaul,good
Male,39,22000,USD,5400,15,120_9999,MARRIED,c0,AS,0_3,60_120,OT,100_9999,3653,700,flat,good
Male,40,43000,USD,1800,15,120_9999,MARRIED,c0,TM,24_60,24_60,WB,6_15,8680,920,flat,good
Male,33,65000,USD,1080,14,60_120,MARRIED,c0,AS,24_60,24_60,EC,31_50,28602,870,consumer_credit,good
Male,34,30000,USD,3600,15,120_9999,MARRIED,c2,TM,24_60,24_60,WB,0_5,10262,3060,flat,good
Male,40,23000,USD,1800,15,120_9999,MARRIED,c3,AS,60_120,60_120,FMCG,100_9999,10626,1850,consumer_credit,good
Male,33,4500,USD,1800,15,120_9999,SINGLE,c0,MM,24_60,24_60,WB,6_15,2228,400,consumer_credit,good
Male,41,5000,USD,1095,14,0_3,MARRIED,c2,TM,24_60,24_60,WB,6_15,3132,1150,consumer_credit,good
Male,35,31000,USD,1800,15,120_9999,MARRIED,c2,MM,0_3,0_12,WB,0_5,7552,1448,consumer_credit,good
Female,37,159360,UAH,3600,19,60_120,SINGLE,c0,MM,12_18,24_60,FMG,0_5,7253,490,flat,good
Male,31,15000,USD,2520,15,60_120,MARRIED,c0,AS,24_60,24_60,EC,100_9999,4015,764,flat,good
Female,55,50000,USD,1800,15,120_9999,MARRIED,c2,MM,120_9999,120_9999,WB,6_15,11500,736,consumer_credit,good
Female,45,15000,USD,5400,12,120_9999,MARRIED,c1,PE,120_9999,120_9999,FS,100_9999,3250,1086,flat,good
Male,28,18000,USD,1080,14,12_24,SINGLE,c1,AS,24_60,24_60,HRC,100_9999,8555,1104,consumer_credit,good
Female,44,30000,USD,1800,15,120_9999,DIVORCED,c0,AS,60_120,60_120,EC,0_5,12098,1200,consumer_credit,good
Male,29,29739,USD,3600,15,120_9999,SINGLE,c0,AS,0_3,24_60,WB,100_9999,7253,1086,flat,good
Male,29,15000,UAH,1080,18,12_24,SINGLE,c0,PE,0_3,0_12,FS,100_9999,3011,562,consumer_credit,good
Female,32,22353,USD,1800,15,12_24,DIVORCED,c0,AS,12_18,60_120,CA,51_100,5140,390,flat,good
Male,51,77300,USD,1800,15,120_9999,DIVORCED,c2,MM,24_60,60_120,WB,6_15,22093,1000,flat,good
Female,33,14500,USD,2520,15,120_9999,SINGLE,c0,TM,24_60,60_120,WB,51_100,3140,430,flat,good
Female,50,14292,USD,1800,14,120_9999,DIVORCED,c0,TM,24_60,24_60,RE,0_5,5606,650,flat,good
Male,31,15000,USD,1800,15,12_24,MARRIED,c0,AS,12_18,24_60,ITT,51_100,4585,820,flat,good
Male,54,1300,UAH,360,18,120_9999,MARRIED,c2,PE,120_9999,120_9999,FS,100_9999,2330,385,consumer_credit,good
Male,33,6000,UAH,1080,18,120_9999,DIVORCED,c1,PE,24_60,24_60,FS,100_9999,1314,385,consumer_credit,bad
